"696523,1605,-86"
"696695,1662,-86"
"696867,1657,-87"
"697034,1634,-87"
"697210,1596,-86"
"697382,1643,-87"
"697553,1605,-86"
"697725,1582,-86"
"697898,1559,-87"
"698069,1540,-87"
"698241,1573,-86"
"698413,1610,-85"
"698585,1652,-87"
"698763,1629,-86"
"698934,1634,-86"
"699106,1605,-86"
"699276,1610,-86"
"699448,1605,-86"
"699622,1727,-86"
"699794,1544,-86"
"699964,1526,-87"
"700138,1484,-87"
"700310,1540,-87"
"700482,1526,-87"
"700654,1498,-87"
"700825,1741,-87"
"700996,2209,-87"
"701169,2050,-87"
"701342,2176,-87"
"701515,1840,-87"
"701686,1671,-86"
"701855,1610,-87"
"702027,1587,-87"
"702198,1498,-87"
"702369,1540,-87"
"702541,1559,-87"
"702729,1699,-87"
"702902,1821,-86"
"703073,1779,-87"
"703245,1756,-87"
"703417,1727,-87"
"703588,1741,-87"
